pid,uri,title,longitude,latitude,description
29811,https://pleiades.stoa.org/places/29811,Yazd,54.35877,31.892187,"An ancient place, cited: BAtlas 3 F3 Yazd"
30203,https://pleiades.stoa.org/places/30203,Achindana (river),,,"An ancient place, cited: BAtlas 3 unlocated Achindana fl."
30204,https://pleiades.stoa.org/places/30204,Agris,,,"An ancient place, cited: BAtlas 3 unlocated Agris"
30207,https://pleiades.stoa.org/places/30207,Aradarum/Hardea/Ardea,57.5,27.5,"An ancient place, cited: BAtlas 3 unlocated Aradarum/(H)Ardea"
30209,https://pleiades.stoa.org/places/30209,Archedotis/Arciotis,,,"An ancient place, cited: BAtlas 3 unlocated Archedotis/Arciotis"
30211,https://pleiades.stoa.org/places/30211,Artacoana/Artakauna,,,"An ancient place, cited: BAtlas 3 unlocated Artacoana/Artakauna"
30213,https://pleiades.stoa.org/places/30213,Bacinora,,,"An ancient place, cited: BAtlas 3 unlocated ‘Bacinora’"
30214,https://pleiades.stoa.org/places/30214,Badara/Balara,,,"An ancient place, cited: BAtlas 3 unlocated Badara/Balara"
30215,https://pleiades.stoa.org/places/30215,Badgis,,,"An ancient place, cited: BAtlas 3 unlocated Badgis"
30216,https://pleiades.stoa.org/places/30216,Badis,,,"An ancient place, cited: BAtlas 3 unlocated Badis"
30217,https://pleiades.stoa.org/places/30217,Bageia Pr.,,,"An ancient place, cited: BAtlas 3 unlocated Bageia Pr."
30221,https://pleiades.stoa.org/places/30221,Caumatis/Kanate/Kanthatis,63.75739217266097,26.59460467890728,"An ancient place, cited: BAtlas 3 unlocated Caumatis/Kanate/Kanthatis"
30222,https://pleiades.stoa.org/places/30222,Cetrora,,,"An ancient place, cited: BAtlas 3 unlocated ‘Cetrora’"
30226,https://pleiades.stoa.org/places/30226,Dagaseira,,,"An ancient place, cited: BAtlas 3 unlocated Dagaseira"
30227,https://pleiades.stoa.org/places/30227,Daras,,,"An ancient place, cited: BAtlas 3 unlocated Daras fl."
30228,https://pleiades.stoa.org/places/30228,Dendrobosa,,,"An ancient place, cited: BAtlas 3 unlocated Dendrobosa"
30229,https://pleiades.stoa.org/places/30229,Derane Billa/Derenobilla,,,"An ancient place, cited: BAtlas 3 unlocated Derane Billa/Derenobilla"
30231,https://pleiades.stoa.org/places/30231,Guzeran-Ardashir/Kujaran,,,"An ancient place, cited: BAtlas 3 unlocated Guzeran-Ardashir/[Kujaran]"
30234,https://pleiades.stoa.org/places/30234,Hictanis/Hyktanis,,,"An ancient place, cited: BAtlas 3 unlocated Hictanis/Hyktanis fl."
30236,https://pleiades.stoa.org/places/30236,Kanasida,,,"An ancient place, cited: BAtlas 3 unlocated Kanasida"
30239,https://pleiades.stoa.org/places/30239,Karpella Pr.,,,"An ancient place, cited: BAtlas 3 unlocated Karpella Pr."
30240,https://pleiades.stoa.org/places/30240,Kathraps,,,"An ancient place, cited: BAtlas 3 unlocated Kathraps fl."
