pid,uri,title,longitude,latitude,without_zotero
29755,https://pleiades.stoa.org/places/29755,Shahristan/Zarang?,61.6263685,30.962826999999997,"29755:>>Schippmann 1971, 35-37|29755:>>Gyselen 1989, 62|29755:>>Gyselen 1989, 87|29755:name:zarang:>>Gyselen 1989, 62|29755:name:ram-shahrestan:>>Gyselen 1989, 87"
29756,https://pleiades.stoa.org/places/29756,Shiragan/Sirjan,55.668645,29.436543,"29756:>>Gyselen 1989, 86|29756:>>Morgan 1987, 26|29756:name:shiragan:>>Gyselen 1989, 86|29756:name:sirjan:>>Morgan 1987, 26"
29762,https://pleiades.stoa.org/places/29762,[Siraf],52.33683,27.670345,"29762:>>Whitehouse 1973, 33-35"
29781,https://pleiades.stoa.org/places/29781,Tell-i Zohak/Pasa?/Bashiyan?,53.642646,28.931476,"29781:name:pasa:>>RGTC 11 Bašiyan|29781:name:fasan:>>TAVO Index (Vol. 1, p. 502)|29781:name:fasa-arb:>>TAVO Index (Vol. 1, p. 501)|29781:name:fasa-arb:http://www.iranicaonline.org/articles/fasa-index>>Encyclopaedia Iranica Online. Fāsā|29781:name:fasa-fas:>>TAVO Index (Vol. 1, p. 501)|29781:name:fasa-fas:http://www.iranicaonline.org/articles/fasa-index>>Encyclopaedia Iranica Online. Fāsā|29781:name:tall-e-siyah:>>TAVO Index (Vol. 3, p. 1606)|29781:name:fassa:>>TAVO Index (Vol. 1, p. 502)"
29783,https://pleiades.stoa.org/places/29783,Tepe Yahya,56.8675,28.3309,"29783:>>Lamberg-Karlovsky 1970, 6-26"
29799,https://pleiades.stoa.org/places/29799,Valashgerd,57.25407,27.862649,"29799:>>Le Strange 1905, 317"
29800,https://pleiades.stoa.org/places/29800,Varakhsha,64.07319452562535,39.863806982347356,29800:loc:osm-location-of-varakhsha:https://www.openstreetmap.org/browse/way/292686319>Way 292686319>osm:way=292686319
29802,https://pleiades.stoa.org/places/29802,Veh Ardashir/[Bardasir]/[Govasir],57.068581,30.273015,"29802:name:bardasir-1:>>TAVO Index (Vol. 1, p. 220)|29802:name:kerman:>>TAVO Index (Vol. 2, p. 902)|29802:name:kerman-1:>>TAVO Index (Vol. 2, p. 902)|29802:name:kirman:>>TAVO Index (Vol. 2, p. False)|29802:name:bardasir-2:>>TAVO Index (Vol. 1, p. 220)|29802:name:gwasir:>>TAVO Index (Vol. 1, p. 626)|29802:name:govasir-1:>>TAVO Index (Vol. 1, p. 607)|29802:name:veh-artaser:>>TAVO Index (Vol. 3, p. 1757)|29802:name:veh-artahser:>>TAVO Index (Vol. 3, p. 1757)|29802:name:gavasir:>>TAVO Index (Vol. 1, p. 563)|29802:name:kirman-1:>>TAVO Index (Vol. 2, p. 915)"
29807,https://pleiades.stoa.org/places/29807,Wadi Sirhan,37.85758408373678,31.071650489148283,29807:loc:osm-location-of-uosso-u-ossuo3o-oossu:https://www.openstreetmap.org/browse/way/1017296815>Way 1017296815>osm:way=1017296815
29811,https://pleiades.stoa.org/places/29811,Yazd,54.35877,31.892187,"29811:name:yazd-arb:>>TAVO Index (Vol. 3, p. 1823)|29811:name:yazd-fas:>>TAVO Index (Vol. 3, p. 1823)|29811:name:issatis:>>TAVO Index (Vol. 2, p. False)"
29816,https://pleiades.stoa.org/places/29816,Zagrus (mountain),44.701649891393394,36.05927845504743,29816:>>RE Zagros
30204,https://pleiades.stoa.org/places/30204,Agris,,,30204:>>Ptol. 6.8.7|30204:>>RE Agris
30206,https://pleiades.stoa.org/places/30206,Anamis/Andanis/Ananis (river),56.90720718785517,27.03046184409112,30206:loc:osm-location-modern-uuuosso:https://www.openstreetmap.org/browse/way/541008288>Way 541008288>osm:way=541008288
30218,https://pleiades.stoa.org/places/30218,Bagradas (river),52.79136607038231,27.336856210302617,30218:loc:osm-location-modern-ra-dkhaneh-ye-khowr:https://www.openstreetmap.org/browse/relation/20141192>Relation 20141192>osm:relation=20141192
30226,https://pleiades.stoa.org/places/30226,Dagaseira,,,30226:>>RE Dagaseira
30227,https://pleiades.stoa.org/places/30227,Daras,,,30227:>>RE Daras 2
30228,https://pleiades.stoa.org/places/30228,Dendrobosa,,,30228:>>RE Dendrobosa
30229,https://pleiades.stoa.org/places/30229,Derane Billa/Derenobilla,,,30229:name:derane-billa:>>RE Δεράνη Βίλλα
30234,https://pleiades.stoa.org/places/30234,Hictanis/Hyktanis,,,30234:>>RE Hyktanis
30239,https://pleiades.stoa.org/places/30239,Karpella Pr.,,,30239:>>Ptol. 6.8.5
30240,https://pleiades.stoa.org/places/30240,Kathraps,,,30240:>>RE Daras 2
30241,https://pleiades.stoa.org/places/30241,Khwash/Qash,,,"30241:>>Gyselen 1989, 86-87"
30242,https://pleiades.stoa.org/places/30242,Kophanta/Kophas,57.5,27.5,30242:name:kophas:>>Arrian Ind. 27.4
30245,https://pleiades.stoa.org/places/30245,Kyiza,,,30245:>>RE Kyiza
30247,https://pleiades.stoa.org/places/30247,Nih,,,"30247:>>Le Strange 1905, 340"
30250,https://pleiades.stoa.org/places/30250,Omiza,,,30250:>>RE Omiza
30254,https://pleiades.stoa.org/places/30254,Pantyene,,,"30254:>>Potts 1989, 582-83|30254:https://www.trismegistos.org/place/41675>>TM GEO ID 41675"
