created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2019-10-26T02:05:53Z,,,Pleiades,Ermin Street,https://pleiades.stoa.org/places/26017958/ermin-street,ermin-street,26017958,geographic,en,Ermin Street,Ermin Street,,,certain,accurate,complete,1700,2100
2010-11-09T19:27:02Z,,,Barrington Atlas: BAtlas 26 Arabriga,Arabriga,https://pleiades.stoa.org/places/260486/arabriga,arabriga,260486,geographic,,,Arabriga,,,certain,accurate,complete,-30,300
2010-11-09T19:27:06Z,,,Barrington Atlas: BAtlas 26 Arcobriga,Arcobriga,https://pleiades.stoa.org/places/260490/arcobriga,arcobriga,260490,geographic,,,Arcobriga,,,certain,accurate,complete,-330,300
2010-11-09T19:27:07Z,,,Barrington Atlas: BAtlas 26 Arialdunum,Arialdunum,https://pleiades.stoa.org/places/260491/arialdunum,arialdunum,260491,geographic,,,Arialdunum,,,certain,accurate,complete,-30,300
2010-11-09T19:27:03Z,,,Barrington Atlas: BAtlas 26 Aradoukta,Aradoukta,https://pleiades.stoa.org/places/260487/aradoukta,aradoukta,260487,geographic,,,Aradoukta,,,certain,accurate,complete,-30,300
2010-11-09T19:27:14Z,,,Barrington Atlas: BAtlas 26 Astapa,Astapa,https://pleiades.stoa.org/places/260496/astapa,astapa,260496,geographic,,,Astapa,,,certain,accurate,complete,-330,640
2010-11-09T19:26:53Z,,,Barrington Atlas: BAtlas 26 Agla (Minor?)/Asyla?,Agla Minor,https://pleiades.stoa.org/places/260479/agla-minor,agla-minor,260479,geographic,,,Agla Minor,,,less-certain,accurate,complete,-30,300
2010-11-09T19:26:53Z,,,Barrington Atlas: BAtlas 26 Agla (Minor?)/Asyla?,Agla,https://pleiades.stoa.org/places/260479/agla,agla,260479,geographic,,,Agla,,,certain,accurate,complete,-30,300
2010-11-09T19:26:53Z,,,Barrington Atlas: BAtlas 26 Agla (Minor?)/Asyla?,Asyla,https://pleiades.stoa.org/places/260479/asyla,asyla,260479,geographic,,,Asyla,,,less-certain,accurate,complete,,
2010-11-09T19:27:15Z,,,Barrington Atlas: BAtlas 26 Astigi Vetus?/Eiskadia?,Astigi Vetus,https://pleiades.stoa.org/places/260497/astigi-vetus,astigi-vetus,260497,geographic,,,Astigi Vetus,,,less-certain,accurate,complete,-330,300
2010-11-09T19:27:15Z,,,Barrington Atlas: BAtlas 26 Astigi Vetus?/Eiskadia?,Eiskadia,https://pleiades.stoa.org/places/260497/eiskadia,eiskadia,260497,geographic,,,Eiskadia,,,less-certain,accurate,complete,-330,300
2010-11-09T19:26:51Z,,,Barrington Atlas: BAtlas 26 Ad Atrum/Ad Adrum fl.,Ad Atrum,https://pleiades.stoa.org/places/260478/ad-atrum,ad-atrum,260478,geographic,,,Ad Atrum,,,certain,accurate,complete,-30,300
2010-11-09T19:26:52Z,,,Barrington Atlas: BAtlas 26 Ad Atrum/Ad Adrum fl.,Ad Adrum,https://pleiades.stoa.org/places/260478/ad-adrum,ad-adrum,260478,geographic,,,Ad Adrum,,,certain,accurate,complete,-30,300
2010-11-09T19:26:54Z,,,Barrington Atlas: BAtlas 26 Akkabikon Teichos,Akkabikon Teichos,https://pleiades.stoa.org/places/260481/akkabikon-teichos,akkabikon-teichos,260481,geographic,,,Akkabikon Teichos,,,certain,accurate,complete,300,640
2010-11-09T19:27:11Z,,,Barrington Atlas: BAtlas 26 Arsa,Arsa,https://pleiades.stoa.org/places/260494/arsa,arsa,260494,geographic,,,Arsa,,,certain,accurate,complete,-330,300
2010-11-09T19:26:55Z,,,Barrington Atlas: BAtlas 26 Al(...)iensium (res publica?),Al...iensium,https://pleiades.stoa.org/places/260482/al-iensium,al-iensium,260482,geographic,,,Al...iensium,,,certain,accurate,complete,-30,300
2010-11-09T19:26:56Z,,,Barrington Atlas: BAtlas 26 Al(...)iensium (res publica?),Aliensium res publica,https://pleiades.stoa.org/places/260482/aliensium-res-publica,aliensium-res-publica,260482,geographic,,,Aliensium res publica,,,less-certain,accurate,complete,-30,300
2010-11-09T19:26:56Z,,,Barrington Atlas: BAtlas 26 Al(...)iensium (res publica?),Al...iensium res publica,https://pleiades.stoa.org/places/260482/al-iensium-res-publica,al-iensium-res-publica,260482,geographic,,,Al...iensium res publica,,,less-certain,accurate,complete,-30,300
2010-11-09T19:26:56Z,,,Barrington Atlas: BAtlas 26 Al(...)iensium (res publica?),Aliensium,https://pleiades.stoa.org/places/260482/aliensium,aliensium,260482,geographic,,,Aliensium,,,certain,accurate,complete,-30,300
2010-11-09T19:27:16Z,,,Barrington Atlas: BAtlas 26 Avobriga/Abobrica,Avobriga,https://pleiades.stoa.org/places/260499/avobriga,avobriga,260499,geographic,,,Avobriga,,,certain,accurate,complete,-30,300
2010-11-09T19:27:16Z,,,Barrington Atlas: BAtlas 26 Avobriga/Abobrica,Abobrica,https://pleiades.stoa.org/places/260499/abobrica,abobrica,260499,geographic,la,,Abobrica,,,certain,accurate,complete,-30,300
2010-11-09T19:26:58Z,,,Barrington Atlas: BAtlas 26 Antonianum Metallum,Antonianum Metallum,https://pleiades.stoa.org/places/260483/antonianum-metallum,antonianum-metallum,260483,geographic,,,Antonianum Metallum,,,certain,accurate,complete,-30,300
2010-11-09T19:27:12Z,,,Barrington Atlas: BAtlas 26 Aspavia?/Aigoua?,Aspavia,https://pleiades.stoa.org/places/260495/aspavia,aspavia,260495,geographic,,,Aspavia,,,less-certain,accurate,complete,-330,300
2010-11-09T19:27:12Z,,,Barrington Atlas: BAtlas 26 Aspavia?/Aigoua?,Aigoua,https://pleiades.stoa.org/places/260495/aigoua,aigoua,260495,geographic,,,Aigoua,,,less-certain,accurate,complete,-330,300
2010-11-09T19:27:04Z,,,Barrington Atlas: BAtlas 26 Araducca,Araducca,https://pleiades.stoa.org/places/260488/araducca,araducca,260488,geographic,,,Araducca,,,certain,accurate,complete,-30,300
2010-11-09T19:27:08Z,,,Barrington Atlas: BAtlas 26 Arkilakis,Arkilakis 1,https://pleiades.stoa.org/places/260492/arkilakis-1,arkilakis-1,260492,geographic,,,Arkilakis 1,,,certain,accurate,complete,-30,300
2010-11-09T19:27:09Z,,,Barrington Atlas: BAtlas 26 Arkilakis,Arkilakis,https://pleiades.stoa.org/places/260492/arkilakis,arkilakis,260492,geographic,,,Arkilakis,,,certain,accurate,complete,-30,300
2010-11-09T19:27:00Z,,,Barrington Atlas: BAtlas 26 Apeilokarion,Apeilokarion,https://pleiades.stoa.org/places/260484/apeilokarion,apeilokarion,260484,geographic,,,Apeilokarion,,,certain,accurate,complete,-30,300
2010-11-09T19:27:01Z,,,Barrington Atlas: BAtlas 26 Apiobic(...),Apiobic(...),https://pleiades.stoa.org/places/260485/apiobic,apiobic,260485,geographic,,,Apiobic(...),,,certain,accurate,reconstructable,-30,300
2010-11-09T19:27:10Z,,,Barrington Atlas: BAtlas 26 Arkilakis,Arkilakis 2,https://pleiades.stoa.org/places/260493/arkilakis-2,arkilakis-2,260493,geographic,,,Arkilakis 2,,,certain,accurate,complete,-30,300
2010-11-09T19:27:10Z,,,Barrington Atlas: BAtlas 26 Arkilakis,Arkilakis,https://pleiades.stoa.org/places/260493/arkilakis,arkilakis,260493,geographic,,,Arkilakis,,,certain,accurate,complete,-30,300
2010-11-09T19:27:05Z,,,Barrington Atlas: BAtlas 26 Arbua,Arbua,https://pleiades.stoa.org/places/260489/arbua,arbua,260489,geographic,,,Arbua,,,certain,accurate,complete,-30,300
