place_id,place_type
963101389,villa
963101331,villa
963101349,villa
963101308,villa
963101324,villa
963101373,villa
963101365,villa
963101332,villa
963101345,villa
963101312,villa
963101304,villa
963101353,villa
963101328,villa
963101390,villa
963101386,villa
963101369,villa
963101387,villa
963101368,villa
963101391,villa
963101329,villa
963101352,villa
963101305,villa
963101313,villa
963101344,villa
963101333,villa
963101364,villa
963101372,villa
963101325,villa
963101309,villa
963101348,villa
963101343,villa
963101314,villa
963101302,villa
963101355,villa
963101396,villa
963101379,villa
963101380,villa
963101338,villa
963101318,villa
963101359,villa
963101322,villa
963101375,villa
963101363,villa
963101334,villa
963101335,villa
963101362,villa
963101374,villa
963101323,villa
963101358,villa
963101319,villa
963101339,villa
963101381,cemetery
963101397,villa
963101378,villa
963101354,villa
963101303,villa
963101315,villa
963101342,villa
963101290,villa
963101228,villa
963101286,villa
963101269,villa
963101212,villa
963101245,villa
963101253,villa
963101204,villa
963101273,villa
963101224,villa
963101232,villa
963101265,villa
963101249,villa
963101208,villa
963101209,villa
963101248,villa
963101264,villa
963101233,villa
963101225,villa
963101272,villa
963101205,villa
963101252,villa
963101244,villa
963101213,villa
963101287,villa
963101268,villa
963101229,villa
963101291,villa
963101275,villa
963101222,villa
963101234,villa
963101263,villa
963101218,villa
963101259,villa
963101296,villa
963101279,villa
963101238,villa
963101280,villa
963101214,villa
963101243,villa
963101255,villa
963101202,villa
963101203,villa
963101254,villa
963101242,villa
963101215,villa
963101281,villa
963101239,villa
963101297,villa
963101278,villa
963101258,villa
963101219,villa
963101262,villa
963101235,villa
963101223,villa
963101274,villa
963101261,villa
963101236,villa
963101220,villa
963101277,villa
963101298,villa
963101200,villa
963101257,villa
963101241,villa
963101216,villa
963101282,villa
963101294,villa
963101295,villa
963101283,villa
963101217,villa
963101240,villa
963101256,villa
963101201,villa
963101276,villa
963101299,villa
963101221,villa
963101237,villa
963101260,villa
963101206,villa
963101251,villa
963101247,villa
963101210,villa
963101284,villa
963101292,villa
963101267,villa
963101288,villa
963101230,villa
963101226,villa
963101271,villa
963101270,villa
963101227,villa
963101231,villa
963101266,villa
963101289,villa
963101293,villa
963101285,villa
963101211,villa
963101246,villa
963101250,villa
963101207,villa
963165127,road
963441585,fortified-settlement
963441586,temple-2
963383,wall-2
963382,wall-2
963385,wall-2
963384,earthwork
963384,wall-2
963386,wall-2
963297877,estate
963297878,settlement
